20424297  1092  CSCI  13500  B  3  3  RNL  
20424297  1092  CSCI  13600  A-  3.7  3  RLA  
20424297  1092  FREN  10100  B  3  3  RNL  
20424297  1096  FREN  10200  W  -1  3  RNL  
20424297  1099  CSCI  23500  NC  -1  3  RNL  
20424297  1102  FREN  10200  B-  2.7  1  RNL  
20424297  1109  PSYCH  10000  B  3  3  RNL  
20424297  1112  FREN  20100  C+  2.3  3  RNL  
20424297  1119  AFPRL  24300  A  4  3  RNL  
20424297  1122  PSYCH  17000  B-  2.7  3  RNL  
20424297  1129  CLA  20300  B+  3.3  3  RNL  
20424297  1136  AFPRL  10200  A+  4  3  RNL  
20424297  1139  CSCI  16000  W  -1  3  RNL  
20424297  1142  PSYCH  18000  W  -1  3  RLA  
20424297  1142  PSYCH  22000  W  -1  3  RNL  
20608974  1082  BLOCK  10000  XX  -1  3  RNL  
20608974  1082  CHEM  102LC  B+  3.3  3  RNL  
20608974  1082  ENGL  12000  A-  3.7  3  RNL  
20608974  1082  HIST  15200  B+  3.3  3  RNL  
20608974  1082  ORSEM  100  A  4  3  RNL  
20608974  1082  PHILO  10100  A+  4  3  RNL  
20608974  1082  PSYCH  10000  A  4  3  RNL  
20608974  1086  ENGL  22000  C+  2.3  3  RNL  
20608974  1086  MATH  15000  #F  -1  3  RNL  
20608974  1089  ANTHC  10100  CR  -1  3  RNL  
20608974  1089  MUSHL  10100  A-  3.7  3  RNL  
20608974  1099  ASTRO  10000  B  3  3  RNL  
20608974  1099  CSCI  13500  B  3  3  RNL  
20608974  1099  CSCI  13600  A  4  3  RNL  
20608974  1099  FILM  10100  A  4  4  RNL  
20608974  1099  MATH  15000  #WU  -1  3  RNL  
20608974  1102  AFPRL  10200  B+  3.3  3  RNL  
20608974  1102  FREN  10100  B+  3.3  3  RNL  
20608974  1102  MATH  15000  B  3  0  MLA  
20608974  1102  MUSHL  22761  W  -1  0  MLA  
20608974  1109  CSCI  15000  W  -1  0  MLA  
20608974  1109  MATH  15500  W  -1  0  MLA  
20608974  1109  POLSC  10000  *WN  0  4  RLA  
20608974  1109  THEA  16100  W  -1  6  NLA  
20608974  1112  CSCI  15000  A  4  4  NLA  
20608974  1112  FILM  21300  B-  2.7  4  DLA  
20608974  1116  MATH  15500  B  3  4  DLA  
20608974  1119  CSCI  16000  W  -1  4  DLA  
20608974  1119  CSCI  23500  W  -1  2  NNL  
20608974  1119  MATH  25000  W  -1  4  NLA  
20608974  1119  STAT  21300  *WN  0  4  DLA  
20608974  1122  CSCI  16000  A-  3.7  6  DLA  
20608974  1122  CSCI  23500  A-  3.7  6  DLA  
20608974  1129  CSCI  33500  A-  3.7  6  DLA  
20608974  1129  FREN  10200  W  -1  4  NLA  
20608974  1129  MATH  16000  W  -1  2  NLA  
20608974  1129  POLSC  10000  WU  0 3.0  RNL
20608974  1129  PSYCH  17000  B  3  3  RLA  
20608974  1129  PSYCH  18000  WU  0  3  RLA  
20608974  1132  CSCI  26000  B+  3.3  3  FISR  
20608974  1132  CSCI  26500  C+  2.3  3  RLA  
20608974  1132  MATH  16000  D  1  3  RLA  
20608974  1132  SPAN  10100  W  -1  3  FISR  
20608974  1132  STAT  21300  W  -1  3  FWGR  
20608974  1139  CHEM  120LC  F  0  3  RLA  
20608974  1139  CSCI  36000  WU  0  3  RLA  
20608974  1139  CSCI  43500  FIN  0  3  RLA  
20608974  1139  PSYCH  23500  F  0  3  FWGR  
20743491  1082  CSCI  13500  A+  4  3  FWGR  
20743491  1082  CSCI  13600  A  4  3  RLA  
20743491  1082  MATH  12500  A-  3.7  3  RLA  
20743491  1082  MUSHL  10100  B  3  3  FISR  
20743491  1082  POLSC  30700  WU  0  3  RLA  
20743491  1086  ENGL  22000  A  4  3  RLA  
20743491  1086  MATH  15000  A  4  3  RLA  
20743491  1089  CSCI  14500  A  4  3  FWGR  
20743491  1089  CSCI  15000  A  4  3  FWGR  
20743491  1089  CSCI  24500  B  3  3  RLA  
20743491  1089  CSCI  39451  A  4  3  RLA  
20743491  1089  CSCI  39577  A  4  3  FWGR  
20743491  1089  MATH  15500  WU  0  3  RLA  
20743491  1092  CSCI  23500  A  4  3  RLA  
20743491  1092  CSCI  26500  A  4  3  RLA  
20743491  1092  CSCI  34500  A-  3.7  3  RECR  
20743491  1092  CSCI  49368  FIN  0  3  RLA  
20743491  1096  CSCI  39300  FIN  0  3  RLA  
20743491  1096  MATH  15500  FIN  0  3  FWGR  
20743491  1099  CSCI  33500  B  3  3  RLA  
20743491  1099  CSCI  34000  C  2  3  RLA  
20743491  1099  CSCI  35000  B-  2.7  3  RLA  
20743491  1099  CSCI  39574  FIN  0  3  RLA  
20743491  1099  SPAN  10200  A  4  3  RLA  
20743491  1102  CSCI  46000  A  4  3  RLA  
20743491  1102  MATH  16000  B-  2.7  3  RLA  
